model,budget,status,error_message,predictions_path,result_path
gemini-2.0-flash-001,2048,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_2048/bigcodebench_predictions_budget_2048.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_2048/official_package_direct_results.jsonl
gemini-2.0-flash-001,4096,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_4096/bigcodebench_predictions_budget_4096.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_4096/official_package_direct_results.jsonl
gemini-2.0-flash-lite-001,128,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_128/bigcodebench_predictions_budget_128.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_128/official_package_direct_results.jsonl
gemini-2.0-flash-lite-001,256,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_256/bigcodebench_predictions_budget_256.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_256/official_package_direct_results.jsonl
gemini-2.0-flash-lite-001,512,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_512/bigcodebench_predictions_budget_512.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_512/official_package_direct_results.jsonl
gemini-2.0-flash-lite-001,1024,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_1024/bigcodebench_predictions_budget_1024.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_1024/official_package_direct_results.jsonl
gemini-2.0-flash-lite-001,2048,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_2048/bigcodebench_predictions_budget_2048.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_2048/official_package_direct_results.jsonl
gemini-2.0-flash-lite-001,4096,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_4096/bigcodebench_predictions_budget_4096.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_lite_001/budget_4096/official_package_direct_results.jsonl
gpt-5-mini,128,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_128/bigcodebench_predictions_budget_128.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_128/official_package_direct_results.jsonl
gpt-5-mini,256,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_256/bigcodebench_predictions_budget_256.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_256/official_package_direct_results.jsonl
gpt-5-mini,512,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_512/bigcodebench_predictions_budget_512.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_512/official_package_direct_results.jsonl
gpt-5-mini,1024,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_1024/bigcodebench_predictions_budget_1024.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_1024/official_package_direct_results.jsonl
gpt-5-mini,2048,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_2048/bigcodebench_predictions_budget_2048.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_2048/official_package_direct_results.jsonl
gpt-5-mini,4096,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_4096/bigcodebench_predictions_budget_4096.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gpt_5_mini/budget_4096/official_package_direct_results.jsonl
